Country,Product,Units Sold,Manufacturing_Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month_Name,Year
India,Luxe,1466,260,20,29320,2185.6,27134.4,13660,13474.4,01-06-2020,June,2020
Brazil,Luxe,887,260,300,266100,59040,207060,615000,-407940,01-06-2020,June,2020
India,Luxe,395,260,20,7900,2432,5468,15200,-9732,01-11-2020,November,2020
India,Luxe,1693,260,15,25395,853.2,24541.8,7110,17431.8,01-12-2020,December,2020
Brazil,Luxe,2459,260,12,29508,1320,28188,4125,24063,01-12-2018,December,2020
Brazil,Luxe,2649,260,300,794700,15240,779460,158750,620710,01-12-2020,December,2020
United States of America,Mandarin,3608,250,20,72160,698.4,71461.6,4365,67096.6,01-07-2020,July,2020
Japan,Kensington,1073,3,300,321900,29538,292362,273500,18862,01-06-2020,June,2020
Brazil,Kensington,1754,3,12,21048,396.36,20651.64,1101,19550.64,01-10-2018,October,2020
Japan,Royal Oak,2167,5,300,650100,102667.5,547432.5,950625,-403192.5,01-04-2020,April,2020
United Kingdom,Royal Oak,1319,5,350,461650,52479,409171,433160,-23989,01-05-2020,May,2020
United Kingdom,Royal Oak,1679,5,300,503700,8694,495006,80500,414506,01-09-2018,September,2020
Japan,Royal Oak,1252,5,12,15024,2506.68,12517.32,6963,5554.32,01-11-2020,November,2020
United Kingdom,Royal Oak,3493,5,125,436625,20891.25,415733.75,222840,192893.75,01-11-2018,November,2020
Japan,Royal Oak,1697,5,7,11879,1014.93,10864.07,8055,2809.07,01-12-2018,December,2020
United States of America,Royal Oak,1156,5,125,144500,31466.25,113033.75,335640,-222606.25,01-12-2020,December,2020
India,Royal Oak,726,5,300,217800,9018,208782,83500,125282,01-12-2018,December,2020
Brazil,Vermont,1153,10,300,345900,69255,276645,641250,-364605,01-01-2020,January,2020
Brazil,Vermont,2720,10,350,952000,76135.5,875864.5,628420,247444.5,01-01-2020,January,2020
United States of America,Vermont,3658,10,15,54870,4961.25,49908.75,36750,13158.75,01-04-2020,April,2020
Japan,Vermont,2950,10,300,885000,29538,855462,273500,581962,01-06-2020,June,2020
United Kingdom,Vermont,1821,10,15,27315,1656.45,25658.55,12270,13388.55,01-10-2020,October,2020
Brazil,Vermont,4174,10,12,50088,396.36,49691.64,1101,48590.64,01-10-2018,October,2020
United Kingdom,Vermont,1127,10,300,338100,35748,302352,331000,-28648,01-11-2020,November,2020
India,Vermont,2209,10,12,26508,1917,24591,5325,19266,01-11-2018,November,2020
United States of America,Vermont,862,10,125,107750,31466.25,76283.75,335640,-259356.25,01-12-2020,December,2020
Brazil,Burlington,3805,120,15,57075,330.75,56744.25,2450,54294.25,01-05-2020,May,2020
Japan,Burlington,1415,120,300,424500,102424.5,322075.5,948375,-626299.5,01-07-2020,July,2020
India,Burlington,2231,120,350,780850,41170.5,739679.5,339820,399859.5,01-07-2020,July,2020
Japan,Burlington,3649,120,125,456125,6378.75,449746.25,68040,381706.25,01-09-2020,September,2020
Brazil,Burlington,2948,120,125,368500,23737.5,344762.5,253200,91562.5,01-09-2020,September,2020
Japan,Burlington,3395,120,350,1188250,39973.5,1148276.5,329940,818336.5,01-10-2020,October,2020
United States of America,Mandarin,2650,250,12,31800,2112.48,29687.52,5868,23819.52,01-01-2020,January,2020
India,Mandarin,585,250,300,175500,71793,103707,664750,-561043,01-02-2020,February,2020
United States of America,Mandarin,1316,250,350,460600,42572.25,418027.75,351390,66637.75,01-04-2020,April,2020
India,Mandarin,4459,250,12,53508,950.4,52557.6,2640,49917.6,01-05-2020,May,2020
United States of America,Mandarin,2711,250,300,813300,50409,762891,466750,296141,01-09-2020,September,2020
United Kingdom,Mandarin,2621,250,12,31452,2412.72,29039.28,6702,22337.28,01-09-2018,September,2020
United Kingdom,Mandarin,3613,250,15,54195,1656.45,52538.55,12270,40268.55,01-10-2020,October,2020
Brazil,Mandarin,1847,250,125,230875,9866.25,221008.75,105240,115768.75,01-11-2020,November,2020
United States of America,Luxe,2996,260,350,1048600,65236.5,983363.5,538460,444903.5,01-09-2020,September,2020
Japan,Luxe,2838,260,350,993300,39973.5,953326.5,329940,623386.5,01-10-2020,October,2020
India,Luxe,1302,260,15,19530,1309.5,18220.5,9700,8520.5,01-11-2018,November,2020
Brazil,Luxe,1536,260,20,30720,3049.2,27670.8,16940,10730.8,01-11-2020,November,2020
India,Kensington,1291,3,20,25820,1193.4,24626.6,6630,17996.6,01-05-2020,May,2020
Japan,Kensington,1213,3,7,8491,515.97,7975.03,4095,3880.03,01-07-2020,July,2020
India,Kensington,2370,3,12,28440,1706.4,26733.6,4740,21993.6,01-09-2020,September,2020
Brazil,Kensington,1979,3,7,13853,328.23,13524.77,2605,10919.77,01-12-2020,December,2020
United States of America,Vermont,2879,10,20,57580,1751.4,55828.6,9730,46098.6,01-03-2020,March,2020
Brazil,Vermont,1707,10,20,34140,1868.4,32271.6,10380,21891.6,01-06-2020,June,2020
India,Vermont,2933,10,7,20531,226.8,20304.2,1800,18504.2,01-10-2020,October,2020
United Kingdom,Burlington,1014,120,12,12168,2124.36,10043.64,5901,4142.64,01-03-2020,March,2020
Brazil,Burlington,693,120,15,10395,3547.8,6847.2,26280,-19432.8,01-04-2020,April,2020
India,Mandarin,3741,250,7,26187,226.8,25960.2,1800,24160.2,01-10-2020,October,2020
United Kingdom,Mandarin,3116,250,20,62320,4827.6,57492.4,26820,30672.4,01-11-2018,November,2020
Brazil,Mandarin,3995,250,7,27965,328.23,27636.77,2605,25031.77,01-12-2020,December,2020
Brazil,Luxe,953,260,20,19060,1868.4,17191.6,10380,6811.6,01-06-2020,June,2020
Japan,Luxe,2530,260,15,37950,2201.18,35748.83,16305,19443.83,01-07-2020,July,2020
United Kingdom,Luxe,2565,260,12,30780,330.48,30449.52,918,29531.52,01-12-2018,December,2020
United States of America,Kensington,4297,3,12,51564,463.2,51100.8,1158,49942.8,01-10-2018,October,2020
United States of America,Royal Oak,2871,5,7,20097,1629.6,18467.4,11640,6827.4,01-09-2020,September,2020
United States of America,Vermont,3537,10,12,42444,463.2,41980.8,1158,40822.8,01-10-2018,October,2020
United States of America,Kensington,1598,3,125,199750,43068.75,156681.25,413460,-256778.75,01-04-2020,April,2020
United Kingdom,Kensington,2616,3,125,327000,18525,308475,177840,130635,01-12-2018,December,2020
United States of America,Royal Oak,2836,5,350,992600,80955,911645,601380,310265,01-05-2020,May,2020
United States of America,Royal Oak,4023,5,125,502875,22550,480325,216480,263845,01-11-2018,November,2020
United Kingdom,Royal Oak,3994,5,15,59910,3108,56802,20720,36082,01-12-2020,December,2020
United Kingdom,Vermont,2928,10,20,58560,3908,54652,19540,35112,01-03-2020,March,2020
Brazil,Vermont,2912,10,300,873600,17730,855870,147750,708120,01-05-2020,May,2020
United Kingdom,Vermont,3671,10,15,55065,3250.5,51814.5,21670,30144.5,01-10-2018,October,2020
India,Vermont,2778,10,20,55560,482,55078,2410,52668,01-10-2020,October,2020
India,Burlington,405,120,15,6075,1021.5,5053.5,6810,-1756.5,01-01-2020,January,2020
India,Burlington,2013,120,15,30195,765,29430,5100,24330,01-04-2020,April,2020
United States of America,Burlington,2634,120,15,39510,1185,38325,7900,30425,01-05-2020,May,2020
United Kingdom,Burlington,4166,120,350,1458100,22365,1435735,166140,1269595,01-07-2020,July,2020
United States of America,Burlington,355,120,125,44375,19950,24425,191520,-167095,01-09-2020,September,2020
United States of America,Burlington,2382,120,300,714600,68820,645780,573500,72280,01-10-2018,October,2020
India,Burlington,4170,120,20,83400,482,82918,2410,80508,01-10-2020,October,2020
India,Burlington,892,120,7,6244,1865.5,4378.5,13325,-8946.5,01-11-2020,November,2020
Japan,Burlington,2200,120,125,275000,23950,251050,229920,21130,01-12-2018,December,2020
United Kingdom,Burlington,3389,120,300,1016700,25590,991110,213250,777860,01-12-2020,December,2020
Brazil,Mandarin,2990,250,125,373750,4262.5,369487.5,40920,328567.5,01-05-2020,May,2020
Brazil,Mandarin,4013,250,15,60195,961.5,59233.5,6410,52823.5,01-07-2020,July,2020
United States of America,Mandarin,739,250,350,258650,98245,160405,729820,-569415,01-08-2020,August,2020
Brazil,Mandarin,1989,250,300,596700,12960,583740,108000,475740,01-09-2020,September,2020
United States of America,Mandarin,2991,250,300,897300,68820,828480,573500,254980,01-10-2018,October,2020
United Kingdom,Mandarin,4237,250,15,63555,3250.5,60304.5,21670,38634.5,01-10-2018,October,2020
Japan,Mandarin,1442,250,125,180250,31612.5,148637.5,303480,-154842.5,01-11-2020,November,2020
India,Mandarin,2712,250,350,949200,65450,883750,486200,397550,01-12-2018,December,2020
United States of America,Luxe,1508,260,125,188500,7237.5,181262.5,69480,111782.5,01-01-2020,January,2020
Japan,Luxe,4245,260,350,1485750,78400,1407350,582400,824950,01-02-2020,February,2020
United States of America,Luxe,2630,260,300,789000,89790,699210,748250,-49040,01-03-2020,March,2020
Japan,Luxe,1182,260,12,14184,4224.6,9959.4,10561.5,-602.1,01-04-2020,April,2020
Brazil,Luxe,1221,260,20,24420,4078,20342,20390,-48,01-05-2020,May,2020
India,Luxe,963,260,12,11556,3088.8,8467.2,7722,745.2,01-08-2020,August,2020
Japan,Luxe,3243,260,350,1135050,24745,1110305,183820,926485,01-09-2020,September,2020
United Kingdom,Luxe,1120,260,15,16800,3108,13692,20720,-7028,01-12-2020,December,2020
United Kingdom,Luxe,1174,260,300,352200,25590,326610,213250,113360,01-12-2020,December,2020
United Kingdom,Kensington,2541,3,12,30492,1581.36,28910.64,3594,25316.64,01-10-2018,October,2020
United Kingdom,Vermont,3246,10,7,22722,1949.64,20772.36,12660,8112.36,01-04-2020,April,2020
United Kingdom,Vermont,1531,10,12,18372,1581.36,16790.64,3594,13196.64,01-10-2018,October,2020
Japan,Burlington,2526,120,15,37890,633.6,37256.4,3840,33416.4,01-01-2020,January,2020
India,Burlington,1136,120,12,13632,623.04,13008.96,1416,11592.96,01-10-2020,October,2020
United States of America,Mandarin,1983,250,7,13881,1215.83,12665.17,7895,4770.17,01-03-2020,March,2020
Brazil,Mandarin,3259,250,12,39108,1326.6,37781.4,3015,34766.4,01-09-2018,September,2020
United States of America,Luxe,3267,260,15,49005,5279.18,43725.83,31995,11730.83,01-07-2020,July,2020
India,Luxe,2454,260,12,29448,623.04,28824.96,1416,27408.96,01-10-2020,October,2020
Japan,Kensington,2643,3,12,31716,2556.84,29159.16,5811,23348.16,01-02-2020,February,2020
India,Kensington,383,3,350,134050,30492,103558,205920,-102362,01-03-2020,March,2020
India,Kensington,2801,3,300,840300,92763,747537,702750,44787,01-07-2020,July,2020
United Kingdom,Kensington,1667,3,125,208375,33563.75,174811.25,292920,-118108.75,01-10-2020,October,2020
Japan,Kensington,3539,3,15,53085,2574,50511,15600,34911,01-11-2018,November,2020
Brazil,Kensington,4226,3,7,29582,2083.62,27498.38,13530,13968.38,01-11-2018,November,2020
India,Royal Oak,2220,5,350,777000,29491,747509,199160,548349,01-01-2020,January,2020
India,Royal Oak,776,5,20,15520,6582.4,8937.6,29920,-20982.4,01-10-2018,October,2020
Brazil,Royal Oak,553,5,15,8295,3559.05,4735.95,21570,-16834.05,01-12-2020,December,2020
Japan,Vermont,2107,10,300,632100,28809,603291,218250,385041,01-01-2020,January,2020
Brazil,Vermont,2468,10,20,49360,2468.4,46891.6,11220,35671.6,01-03-2020,March,2020
Japan,Vermont,1905,10,350,666750,81023.25,585726.75,547170,38556.75,01-07-2020,July,2020
Japan,Vermont,3658,10,12,43896,5314.32,38581.68,12078,26503.68,01-07-2020,July,2020
United Kingdom,Vermont,4301,10,12,51612,3201.66,48410.34,7276.5,41133.84,01-07-2020,July,2020
Japan,Vermont,2446,10,20,48920,5266.8,43653.2,23940,19713.2,01-08-2020,August,2020
Brazil,Vermont,4209,10,15,63135,3273.6,59861.4,19840,40021.4,01-08-2020,August,2020
United Kingdom,Vermont,3353,10,125,419125,33563.75,385561.25,292920,92641.25,01-10-2020,October,2020
India,Vermont,1401,10,20,28020,6582.4,21437.6,29920,-8482.4,01-10-2018,October,2020
Japan,Vermont,1865,10,300,559500,45078,514422,341500,172922,01-11-2020,November,2020
United Kingdom,Burlington,463,120,20,9260,6171,3089,28050,-24961,01-09-2018,September,2020
Brazil,Burlington,4177,120,15,62655,1080.75,61574.25,6550,55024.25,01-09-2018,September,2020
Brazil,Burlington,2523,120,350,883050,13244,869806,89440,780366,01-10-2018,October,2020
Japan,Burlington,1930,120,7,13510,1392.16,12117.84,9040,3077.84,01-11-2020,November,2020
United Kingdom,Mandarin,1301,250,12,15612,2288.88,13323.12,5202,8121.12,01-01-2020,January,2020
Brazil,Mandarin,4125,250,125,515625,7617.5,508007.5,66480,441527.5,01-01-2020,January,2020
Japan,Mandarin,607,250,20,12140,6457,5683,29350,-23667,01-11-2018,November,2020
India,Luxe,478,260,125,59750,43518.75,16231.25,379800,-363568.75,01-01-2020,January,2020
Brazil,Luxe,4489,260,20,89780,5783.8,83996.2,26290,57706.2,01-01-2020,January,2020
United Kingdom,Luxe,1504,260,125,188000,19703.75,168296.25,171960,-3663.75,01-05-2020,May,2020
Brazil,Luxe,3763,260,125,470375,13021.25,457353.75,113640,343713.75,01-09-2018,September,2020
Brazil,Luxe,2412,260,350,844200,13244,830956,89440,741516,01-10-2018,October,2020
Brazil,Luxe,2342,260,15,35130,3559.05,31570.95,21570,10000.95,01-12-2020,December,2020
United States of America,Vermont,4451,10,7,31157,292.6,30864.4,1900,28964.4,01-09-2018,September,2020
Brazil,Kensington,3796,3,350,1328600,37212,1291388,230360,1061028,01-06-2020,June,2020
Japan,Kensington,2286,3,125,285750,36240,249510,289920,-40410,01-09-2018,September,2020
Brazil,Kensington,3614,3,125,451750,32340,419410,258720,160690,01-10-2020,October,2020
Japan,Kensington,1716,3,15,25740,4840.2,20899.8,26890,-5990.2,01-11-2020,November,2020
United States of America,Royal Oak,1301,5,15,19515,1218.6,18296.4,6770,11526.4,01-03-2020,March,2020
United Kingdom,Royal Oak,4175,5,300,1252500,63828,1188672,443250,745422,01-04-2020,April,2020
Brazil,Royal Oak,975,5,7,6825,2032.8,4792.2,12100,-7307.8,01-09-2020,September,2020
Japan,Royal Oak,1154,5,7,8078,2296.56,5781.44,13670,-7888.56,01-10-2020,October,2020
Brazil,Royal Oak,1873,5,20,37460,4116,33344,17150,16194,01-10-2018,October,2020
United Kingdom,Royal Oak,3766,5,300,1129800,42696,1087104,296500,790604,01-12-2018,December,2020
United States of America,Vermont,3558,10,300,1067400,125820,941580,873750,67830,01-01-2020,January,2020
Brazil,Vermont,3156,10,350,1104600,37212,1067388,230360,837028,01-06-2020,June,2020
Brazil,Vermont,2994,10,125,374250,32340,341910,258720,83190,01-10-2020,October,2020
Brazil,Vermont,2087,10,20,41740,2172,39568,9050,30518,01-10-2020,October,2020
Brazil,Vermont,1056,10,20,21120,4116,17004,17150,-146,01-10-2018,October,2020
United Kingdom,Vermont,1353,10,350,473550,66948,406602,414440,-7838,01-11-2020,November,2020
India,Vermont,416,10,300,124800,48924,75876,339750,-263874,01-11-2020,November,2020
Brazil,Vermont,3880,10,300,1164000,77400,1086600,537500,549100,01-11-2020,November,2020
Brazil,Vermont,809,10,350,283150,50274,232876,311220,-78344,01-11-2020,November,2020
Brazil,Vermont,1892,10,15,28380,684,27696,3800,23896,01-12-2018,December,2020
Brazil,Vermont,2072,10,20,41440,2959.2,38480.8,12330,26150.8,01-12-2020,December,2020
Brazil,Burlington,3052,120,350,1068200,58590,1009610,362700,646910,01-07-2020,July,2020
United States of America,Burlington,3121,120,350,1092350,41412,1050938,256360,794578,01-10-2020,October,2020
Brazil,Burlington,2059,120,20,41180,2172,39008,9050,29958,01-10-2020,October,2020
Japan,Mandarin,4254,250,12,51048,3036.96,48011.04,6327,41684.04,01-05-2020,May,2020
United Kingdom,Mandarin,1293,250,15,19395,6974.1,12420.9,38745,-26324.1,01-07-2020,July,2020
Japan,Mandarin,1293,250,350,452550,26166,426384,161980,264404,01-09-2018,September,2020
United States of America,Mandarin,230,250,350,80500,41412,39088,256360,-217272,01-10-2020,October,2020
United States of America,Mandarin,1723,250,125,215375,35805,179570,286440,-106870,01-11-2020,November,2020
Brazil,Mandarin,240,250,20,4800,2959.2,1840.8,12330,-10489.2,01-12-2020,December,2020
United States of America,Luxe,2571,260,350,899850,11340,888510,70200,818310,01-02-2020,February,2020
United Kingdom,Luxe,1661,260,7,11627,2874.06,8752.94,17107.5,-8354.56,01-07-2020,July,2020
Japan,Luxe,4474,260,7,31318,2296.56,29021.44,13670,15351.44,01-10-2020,October,2020
United States of America,Luxe,833,260,15,12495,4586.4,7908.6,25480,-17571.4,01-11-2018,November,2020
United Kingdom,Kensington,674,3,20,13480,6051.6,7428.4,25215,-17786.6,01-01-2020,January,2020
Brazil,Royal Oak,778,5,12,9336,3831.84,5504.16,7983,-2478.84,01-05-2020,May,2020
India,Vermont,1457,10,20,29140,3674.4,25465.6,15310,10155.6,01-12-2020,December,2020
United Kingdom,Mandarin,3158,250,7,22106,1252.44,20853.56,7455,13398.56,01-03-2020,March,2020
India,Mandarin,4095,250,20,81900,3674.4,78225.6,15310,62915.6,01-12-2020,December,2020
Japan,Luxe,3170,260,12,38040,3975.84,34064.16,8283,25781.16,01-09-2018,September,2020
United States of America,Kensington,493,3,15,7395,5005.65,2389.35,25670,-23280.65,01-06-2020,June,2020
United States of America,Mandarin,3286,250,15,49290,5005.65,44284.35,25670,18614.35,01-06-2020,June,2020
Japan,Kensington,3563,3,350,1247050,41996.5,1205053.5,239980,965073.5,01-03-2020,March,2020
United Kingdom,Kensington,4109,3,350,1438150,81445,1356705,465400,891305,01-03-2020,March,2020
India,Kensington,3653,3,20,73060,1149.2,71910.8,4420,67490.8,01-09-2018,September,2020
United States of America,Royal Oak,2203,5,350,771050,44703.75,726346.25,255450,470896.25,01-01-2020,January,2020
United States of America,Royal Oak,2924,5,7,20468,1181.18,19286.82,6490,12796.82,01-02-2020,February,2020
Brazil,Royal Oak,2650,5,12,31800,942.24,30857.76,1812,29045.76,01-06-2020,June,2020
Brazil,Royal Oak,1194,5,20,23880,5863,18017,22550,-4533,01-07-2020,July,2020
Japan,Royal Oak,3366,5,20,67320,3247.4,64072.6,12490,51582.6,01-10-2020,October,2020
United States of America,Vermont,1325,10,7,9275,1309.04,7965.97,7192.5,773.47,01-01-2020,January,2020
India,Vermont,4243,10,300,1272900,31473,1241427,201750,1039677,01-01-2020,January,2020
United States of America,Vermont,2887,10,20,57740,6866.6,50873.4,26410,24463.4,01-02-2020,February,2020
India,Vermont,3839,10,20,76780,7040.8,69739.2,27080,42659.2,01-02-2020,February,2020
Japan,Vermont,1863,10,350,652050,119756,532294,684320,-152026,01-06-2020,June,2020
Japan,Vermont,2858,10,125,357250,25723.75,331526.25,189960,141566.25,01-06-2020,June,2020
Brazil,Vermont,2868,10,12,34416,890.76,33525.24,1713,31812.24,01-07-2020,July,2020
United Kingdom,Vermont,3805,10,7,26635,2453.36,24181.64,13480,10701.64,01-08-2020,August,2020
Japan,Vermont,3914,10,15,58710,3051.75,55658.25,15650,40008.25,01-10-2020,October,2020
Japan,Vermont,524,10,20,10480,3247.4,7232.6,12490,-5257.4,01-10-2020,October,2020
India,Vermont,3095,10,350,1083250,16243.5,1067006.5,92820,974186.5,01-11-2020,November,2020
India,Vermont,2410,10,12,28920,1580.28,27339.72,3039,24300.72,01-12-2020,December,2020
United Kingdom,Burlington,4263,120,15,63945,7795.13,56149.88,39975,16174.88,01-01-2020,January,2020
Japan,Burlington,2239,120,350,783650,119756,663894,684320,-20426,01-06-2020,June,2020
United Kingdom,Burlington,569,120,7,3983,1082.9,2900.1,5950,-3049.9,01-06-2020,June,2020
Brazil,Burlington,3889,120,12,46668,942.24,45725.76,1812,43913.76,01-06-2020,June,2020
India,Burlington,1378,120,15,20670,1287,19383,6600,12783,01-09-2018,September,2020
Brazil,Burlington,2253,120,12,27036,639.6,26396.4,1230,25166.4,01-10-2020,October,2020
Brazil,Burlington,3202,120,300,960600,101595,859005,651250,207755,01-11-2018,November,2020
India,Burlington,3835,120,12,46020,1580.28,44439.72,3039,41400.72,01-12-2020,December,2020
Japan,Mandarin,2487,250,125,310875,25723.75,285151.25,189960,95191.25,01-06-2020,June,2020
Japan,Mandarin,4428,250,15,66420,3051.75,63368.25,15650,47718.25,01-10-2020,October,2020
Japan,Luxe,1200,260,125,150000,26958.75,123041.25,199080,-76038.75,01-01-2020,January,2020
United Kingdom,Luxe,2953,260,7,20671,1082.9,19588.1,5950,13638.1,01-06-2020,June,2020
Brazil,Luxe,1453,260,12,17436,639.6,16796.4,1230,15566.4,01-10-2020,October,2020
India,Luxe,865,260,12,10380,2761.2,7618.8,5310,2308.8,01-12-2018,December,2020
Brazil,Kensington,1072,3,20,21440,7221.2,14218.8,25790,-11571.2,01-04-2020,April,2020
United States of America,Kensington,1737,3,20,34740,4880.4,29859.6,17430,12429.6,01-05-2020,May,2020
United States of America,Kensington,1535,3,7,10745,2936.08,7808.92,14980,-7171.08,01-10-2018,October,2020
India,Kensington,2532,3,7,17724,274.4,17449.6,1400,16049.6,01-12-2020,December,2020
United Kingdom,Royal Oak,1765,5,7,12355,287.14,12067.86,1465,10602.86,01-02-2020,February,2020
United States of America,Royal Oak,1567,5,7,10969,2936.08,8032.92,14980,-6947.08,01-10-2018,October,2020
India,Vermont,2640,10,15,39600,583.8,39016.2,2780,36236.2,01-02-2020,February,2020
Japan,Vermont,3079,10,20,61580,6798.4,54781.6,24280,30501.6,01-03-2020,March,2020
United States of America,Vermont,4130,10,15,61950,3710.7,58239.3,17670,40569.3,01-09-2020,September,2020
United Kingdom,Vermont,2938,10,12,35256,2340.24,32915.76,4179,28736.76,01-10-2020,October,2020
India,Mandarin,3080,250,7,21560,274.4,21285.6,1400,19885.6,01-12-2020,December,2020
United Kingdom,Luxe,1530,260,12,18360,2340.24,16019.76,4179,11840.76,01-10-2020,October,2020
United States of America,Luxe,3537,260,12,42444,3385.2,39058.8,6045,33013.8,01-12-2018,December,2020
Brazil,Kensington,2021,3,300,606300,33642,572658,200250,372408,01-07-2020,July,2020
United Kingdom,Kensington,1804,3,125,225500,17902.5,207597.5,122760,84837.5,01-09-2018,September,2020
Japan,Kensington,1014,3,300,304200,62832,241368,374000,-132632,01-10-2020,October,2020
United States of America,Kensington,2913,3,300,873900,42420,831480,252500,578980,01-10-2020,October,2020
India,Kensington,763,3,15,11445,3177.3,8267.7,15130,-6862.3,01-11-2020,November,2020
Japan,Kensington,1425,3,15,21375,4830,16545,23000,-6455,01-12-2020,December,2020
Brazil,Kensington,4357,3,125,544625,49367.5,495257.5,338520,156737.5,01-12-2018,December,2020
Japan,Royal Oak,2138,5,350,748300,109147.5,639152.5,579150,60002.5,01-01-2020,January,2020
India,Royal Oak,3825,5,350,1338750,58751,1279999,311740,968259,01-04-2020,April,2020
Japan,Royal Oak,3393,5,350,1187550,9800,1177750,52000,1125750,01-05-2020,May,2020
Japan,Royal Oak,2215,5,7,15505,380.24,15124.76,1940,13184.76,01-09-2020,September,2020
Brazil,Royal Oak,2278,5,7,15946,1692.46,14253.54,8635,5618.54,01-10-2018,October,2020
Japan,Royal Oak,403,5,15,6045,4830,1215,23000,-21785,01-12-2020,December,2020
Brazil,Vermont,289,10,20,5780,728,5052,2600,2452,01-02-2020,February,2020
Japan,Vermont,749,10,15,11235,5187,6048,24700,-18652,01-09-2018,September,2020
Japan,Vermont,372,10,15,5580,3660.3,1919.7,17430,-15510.3,01-10-2018,October,2020
United States of America,Vermont,3781,10,12,45372,4895.52,40476.48,8742,31734.48,01-10-2020,October,2020
United Kingdom,Vermont,1785,10,7,12495,1696.38,10798.62,8655,2143.62,01-10-2020,October,2020
Japan,Vermont,4029,10,350,1410150,34300,1375850,182000,1193850,01-11-2020,November,2020
Japan,Vermont,2813,10,12,33756,3732.96,30023.04,6666,23357.04,01-11-2018,November,2020
United States of America,Vermont,2150,10,350,752500,57673,694827,306020,388807,01-11-2020,November,2020
United Kingdom,Vermont,2093,10,350,732550,94178,638372,499720,138652,01-11-2018,November,2020
Brazil,Burlington,4391,120,125,548875,27562.5,521312.5,189000,332312.5,01-02-2020,February,2020
United States of America,Burlington,2695,120,20,53900,1696.8,52203.2,6060,46143.2,01-04-2020,April,2020
United States of America,Burlington,1337,120,300,401100,103320,297780,615000,-317220,01-07-2020,July,2020
Japan,Burlington,2621,120,300,786300,11298,775002,67250,707752,01-10-2018,October,2020
India,Burlington,3735,120,300,1120500,106512,1013988,634000,379988,01-11-2018,November,2020
Brazil,Mandarin,4320,250,7,30240,2844.94,27395.06,14515,12880.06,01-03-2020,March,2020
United States of America,Mandarin,2828,250,300,848400,106722,741678,635250,106428,01-08-2020,August,2020
Japan,Mandarin,2586,250,300,775800,11298,764502,67250,697252,01-10-2018,October,2020
Japan,Mandarin,1248,250,300,374400,62832,311568,374000,-62432,01-10-2020,October,2020
United States of America,Mandarin,4035,250,300,1210500,42420,1168080,252500,915580,01-10-2020,October,2020
United Kingdom,Mandarin,359,250,350,125650,62769,62881,333060,-270179,01-12-2018,December,2020
Japan,Luxe,3926,260,300,1177800,37296,1140504,222000,918504,01-03-2020,March,2020
United States of America,Luxe,4247,260,125,530875,49770,481105,341280,139825,01-05-2020,May,2020
United Kingdom,Luxe,2695,260,12,32340,4158,28182,7425,20757,01-08-2020,August,2020
Japan,Luxe,1104,260,15,16560,3660.3,12899.7,17430,-4530.3,01-10-2018,October,2020
United States of America,Luxe,1449,260,12,17388,4895.52,12492.48,8742,3750.48,01-10-2020,October,2020
United Kingdom,Luxe,1131,260,7,7917,1696.38,6220.62,8655,-2434.38,01-10-2020,October,2020
Brazil,Luxe,1468,260,7,10276,1692.46,8583.54,8635,-51.46,01-10-2018,October,2020
Brazil,Luxe,1272,260,15,19080,3927,15153,18700,-3547,01-11-2018,November,2020
United Kingdom,Kensington,1403,3,125,175375,22012.5,153362.5,140880,12482.5,01-08-2020,August,2020
India,Kensington,2161,3,125,270125,51881.25,218243.75,332040,-113796.25,01-08-2020,August,2020
India,Kensington,1937,3,125,242125,20343.75,221781.25,130200,91581.25,01-10-2020,October,2020
Brazil,Royal Oak,2879,5,300,863700,24570,839130,136500,702630,01-10-2020,October,2020
India,Vermont,1330,10,20,26600,3474,23126,11580,11546,01-03-2020,March,2020
Japan,Vermont,2426,10,15,36390,3631.5,32758.5,16140,16618.5,01-04-2020,April,2020
Brazil,Vermont,2033,10,7,14231,2661.75,11569.25,12675,-1105.75,01-04-2020,April,2020
Brazil,Vermont,2029,10,350,710150,149677.5,560472.5,741260,-180787.5,01-05-2020,May,2020
Japan,Vermont,1049,10,15,15735,5757.75,9977.25,25590,-15612.75,01-08-2020,August,2020
United States of America,Vermont,1062,10,20,21240,801,20439,2670,17769,01-10-2018,October,2020
India,Vermont,2509,10,125,313625,20343.75,293281.25,130200,163081.25,01-10-2020,October,2020
India,Vermont,1743,10,15,26145,2643.75,23501.25,11750,11751.25,01-10-2020,October,2020
United States of America,Vermont,3418,10,350,1196300,105367.5,1090932.5,521820,569112.5,01-11-2018,November,2020
Brazil,Vermont,1751,10,350,612850,112927.5,499922.5,559260,-59337.5,01-11-2018,November,2020
United States of America,Vermont,3228,10,12,38736,1645.2,37090.8,2742,34348.8,01-12-2020,December,2020
United Kingdom,Vermont,1105,10,20,22100,879,21221,2930,18291,01-12-2020,December,2020
Brazil,Burlington,2778,120,12,33336,900,32436,1500,30936,01-03-2020,March,2020
United Kingdom,Burlington,1173,120,15,17595,6358.5,11236.5,28260,-17023.5,01-05-2020,May,2020
United Kingdom,Burlington,3160,120,125,395000,12431.25,382568.75,79560,303008.75,01-09-2020,September,2020
United States of America,Burlington,4322,120,300,1296600,115830,1180770,643500,537270,01-11-2018,November,2020
